100000 100000
2 1 23145
3 1 511334
4 2 560509
5 2 248236
6 4 60464
7 6 902907
8 3 180977
9 8 784102
10 1 421593
11 7 482376
12 11 275178
13 12 185157
14 3 490731
15 9 152316
16 9 172032
17 6 347889
18 13 726790
19 8 584777
20 12 166707
21 12 269453
22 20 166458
23 11 754403
24 3 878855
25 16 437668
26 22 612775
27 11 758959
28 1 430298
29 12 632366
30 21 10296
31 1 827208
32 4 101054
33 25 377503
34 27 550670
35 20 147845
36 29 827995
37 1 493603
38 35 106008
39 33 858238
40 27 819213
41 17 801660
42 12 248651
43 34 836290
44 24 21085
45 43 632680
46 45 769687
47 30 213707
48 42 667688
49 41 731287
50 29 586192
51 31 484789
52 28 812779
53 27 408638
54 20 742748
55 3 419999
56 35 79131
57 26 510298
58 35 298628
59 3 39434
60 30 331594
61 45 867444
62 17 164704
63 14 4724
64 2 188710
65 10 83452
66 59 131492
67 30 705440
68 55 546631
69 13 379408
70 57 897304
71 48 367689
72 61 53768
73 10 853271
74 32 257276
75 52 704810
76 44 597521
77 73 206501
78 7 169754
79 10 110967
80 76 947233
81 50 166069
82 60 279009
83 8 55697
84 70 501936
85 80 147720
86 61 267214
87 76 924729
88 31 426097
89 39 706079
90 52 187055
91 88 272241
92 85 499493
93 1 63150
94 28 206316
95 68 544061
96 55 401237
97 81 264975
98 1 97988
99 2 538588
100 73 272127
101 8 31866
102 65 201715
103 58 376672
104 25 250945
105 70 827536
106 54 9990
107 42 222573
108 65 94869
109 10 695079
110 20 492542
111 12 487436
112 100 981972
113 106 90375
114 22 589433
115 103 712587
116 72 315270
117 4 433603
118 45 217398
119 89 177499
120 82 925728
121 114 422692
122 40 621162
123 74 477902
124 69 447337
125 13 49917
126 3 928472
127 96 350008
128 92 806114
129 62 23106
130 13 102048
131 2 289809
132 22 996496
133 36 483357
134 54 82742
135 21 714938
136 131 182241
137 125 976890
138 96 782892
139 21 552135
140 131 144123
141 31 202810
142 70 655755
143 97 15741
144 130 25902
145 126 373765
146 75 290890
147 84 61618
148 53 936041
149 126 17629
150 134 722181
151 66 543602
152 31 386546
153 99 256878
154 95 7986
155 36 432368
156 5 927414
157 17 257406
158 4 704345
159 72 561387
160 62 344695
161 144 858196
162 74 631429
163 109 922968
164 152 497491
165 44 102602
166 33 705865
167 25 156795
168 50 199398
169 104 778198
170 70 255387
171 26 875842
172 45 845742
173 3 282320
174 91 439096
175 54 796685
176 143 811561
177 112 935726
178 120 607396
179 160 43161
180 152 831993
181 34 840908
182 114 824669
183 4 146619
184 93 444077
185 153 231448
186 98 135382
187 121 398615
188 88 273240
189 6 563913
190 155 557343
191 7 528829
192 37 531828
193 107 844596
194 183 355952
195 111 760461
196 126 66222
197 53 242153
198 155 631774
199 32 431307
200 44 829940
201 106 291665
202 31 802747
203 161 979147
204 159 887564
205 116 337376
206 34 936360
207 109 846514
208 122 363463
209 85 123763
210 104 611569
211 63 940061
212 193 1943
213 90 85032
214 144 603689
215 93 225919
216 150 211796
217 55 431652
218 18 724214
219 32 123231
220 17 986561
221 159 89387
222 93 359515
223 166 907460
224 8 143361
225 22 991446
226 104 431796
227 146 949071
228 140 146423
229 139 583807
230 224 583145
231 215 216442
232 74 843659
233 157 842186
234 40 91595
235 108 696001
236 40 458726
237 143 517427
238 80 721287
239 226 90272
240 174 488811
241 117 135927
242 25 529575
243 174 870697
244 162 635452
245 99 458812
246 108 780579
247 93 46239
248 83 356050
249 240 708461
250 180 370192
