100000 100000
2 1 482510
3 2 68086
4 1 663922
5 4 622874
6 2 380495
7 3 487967
8 4 98117
9 4 528058
10 5 556512
11 7 640590
12 5 233755
13 10 527873
14 4 849389
15 14 651410
16 1 410463
17 16 640996
18 12 147821
19 5 151479
20 17 102613
21 4 821041
22 9 748114
23 18 443067
24 5 7035
25 12 99519
26 21 295042
27 4 30922
28 8 714665
29 10 324040
30 6 601047
31 19 339279
32 13 48361
33 18 937184
34 8 722059
35 30 40627
36 23 895717
37 8 340481
38 17 203379
39 10 522764
40 4 271023
41 34 290310
42 28 395093
43 1 127565
44 39 429081
45 12 190163
46 42 943404
47 19 74340
48 33 58770
49 19 704297
50 34 132889
51 23 638202
52 16 122942
53 19 188787
54 13 278582
55 35 53084
56 41 366536
57 50 148372
58 30 697328
59 22 387738
60 10 276595
61 60 672887
62 37 623692
63 22 728114
64 63 275100
65 26 979641
66 53 210037
67 36 952945
68 32 112876
69 43 692002
70 61 885985
71 57 490117
72 66 121182
73 64 530501
74 40 947128
75 46 461269
76 22 12489
77 63 960072
78 64 914084
79 6 351344
80 72 669651
81 56 113523
82 33 981530
83 41 245369
84 33 240902
85 42 34918
86 8 715158
87 32 412110
88 51 679873
89 66 171201
90 25 893551
91 51 883426
92 69 799328
93 41 574922
94 40 564386
95 56 418946
96 74 289953
97 53 146427
98 53 631639
99 81 398591
100 57 361868
101 8 515778
102 3 958541
103 29 429717
104 21 903201
105 85 298117
106 16 266089
107 94 219142
108 41 541390
109 67 811531
110 72 236680
111 18 372516
112 63 795648
113 94 314466
114 66 459793
115 16 332530
116 45 146563
117 71 415037
118 14 808898
119 83 259868
120 18 994725
121 24 25200
122 80 255877
123 17 358933
124 52 554756
125 27 935745
126 37 433643
127 100 834419
128 46 859906
129 21 689280
130 61 378292
131 110 657709
132 28 386468
133 106 662661
134 17 950202
135 6 907462
136 37 996863
137 6 722092
138 71 693354
139 134 566357
140 117 284191
141 1 72248
142 127 326713
143 18 463474
144 3 88254
145 130 22667
146 108 174563
147 117 24104
148 129 269472
149 60 272747
150 99 125644
151 110 197304
152 22 145573
153 123 407949
154 62 516770
155 97 603387
156 65 509109
157 70 35144
158 13 615004
159 32 538790
160 44 167723
161 48 202506
162 120 274535
163 49 419666
164 14 429725
165 76 796383
166 70 905324
167 146 226929
168 84 429432
169 165 406174
170 45 641885
171 133 779865
172 41 717898
173 93 503166
174 70 829978
175 72 36158
176 50 636115
177 71 856336
178 103 981624
179 3 487359
180 106 1117
181 13 515771
182 2 310131
183 179 473687
184 168 893928
185 29 718467
186 74 405773
187 142 203157
188 186 346044
189 143 972923
190 166 780982
191 180 173720
192 170 280446
193 39 360449
194 111 338759
195 97 706120
196 140 164251
197 102 246314
198 32 480941
199 11 730295
200 165 116213
201 113 943383
202 76 979796
203 120 678358
204 109 885566
205 192 18211
206 49 176711
207 16 632698
208 29 254688
209 154 235577
210 77 873656
211 77 933321
212 124 679938
213 195 544991
214 76 932339
215 157 568449
216 13 756750
217 152 603239
218 196 691075
219 30 578736
220 62 449228
221 166 792242
222 204 305228
223 183 83094
224 88 934437
225 175 669713
226 144 776719
227 66 878702
228 168 815372
229 125 133886
230 18 215329
231 54 828964
232 98 730517
233 186 224975
234 82 746501
235 146 547286
236 48 917007
237 143 338018
238 35 764466
239 175 814853
240 207 772485
241 165 539697
242 170 603950
243 233 522211
244 85 358443
245 16 199734
246 16 391133
247 165 62201
248 118 493602
249 79 575944
250 84 123588
251 230 952182
252 245 462756
253 235 811884
254 236 744014
255 244 958826
256 68 627652
257 91 582053
258 234 433273
259 255 683626
260 157 793062
261 60 881837
262 254 428408
263 91 822195
264 129 747563
265 19 678464
266 47 554072
267 131 944448
268 241 437196
269 71 276752
270 109 899418
271 77 730410
272 116 250451
273 94 791374
274 118 449428
275 208 475437
276 41 391063
277 170 459387
278 165 817662
279 117 257831
280 197 712423
281 14 985430
282 167 83291
283 57 799673
284 107 202559
285 132 734398
286 93 828352
287 49 661749
288 94 293621
289 258 762525
290 259 960825
291 214 18241
292 291 627939
293 155 687709
294 274 275559
295 73 559880
296 37 881833
297 238 770827
298 285 991538
299 183 518312
300 172 163274
301 209 328776
302 168 233867
303 116 70428
304 206 959998
305 152 303239
306 284 619969
307 19 789061
308 234 831809
309 193 726211
310 210 422307
311 90 128052
312 52 831399
313 167 301965
314 234 985729
315 296 49737
316 148 72984
317 296 140628
318 256 885388
319 309 867041
320 74 76710
321 231 798910
322 175 40813
323 82 460937
324 277 97442
325 207 496340
326 126 989589
327 187 856591
328 60 39621
329 76 676627
330 44 495183
331 95 174352
332 207 137579
333 323 907721
334 181 558737
335 227 901054
336 143 494096
337 43 364828
338 326 836989
339 321 923881
340 151 529263
341 80 970530
342 285 560962
343 205 856190
344 103 18380
345 88 142284
346 169 291883
347 61 114432
348 114 147965
349 136 485130
350 216 345969
351 335 858498
352 166 118849
353 286 891323
354 192 565442
355 231 922971
356 29 751774
357 216 129907
358 17 753324
359 40 946022
360 127 551615
361 305 317969
362 146 404939
363 304 305661
364 205 3608
365 58 775955
366 48 693324
367 208 705991
368 67 890481
369 97 317065
370 19 928868
371 95 583330
372 197 649887
373 292 26080
374 231 732035
375 369 207617
376 24 60405
377 297 159850
378 57 507040
379 198 50949
380 196 772652
381 3 892926
382 335 494059
383 368 310851
384 74 712581
385 268 873165
386 210 867950
387 130 354792
388 306 686081
389 204 953750
390 158 352972
391 176 701763
392 138 719654
393 308 395071
394 15 843474
395 300 770044
396 287 789274
397 157 114803
398 41 778237
399 392 184223
400 86 86273
401 139 164968
402 153 30232
403 341 504762
404 326 900630
405 291 134426
406 109 136228
407 362 183330
408 289 730504
409 200 115277
410 121 540771
411 170 222805
412 328 548289
413 363 646080
414 41 795964
415 358 333693
416 203 920392
417 324 869162
418 297 534770
419 337 666934
420 355 348785
421 31 721705
422 56 670251
423 208 857244
424 405 516137
425 240 7434
426 60 857840
427 28 936008
428 370 116900
429 71 765356
430 357 928741
431 268 827803
432 421 630411
433 244 799755
434 17 587238
435 174 633283
436 82 817103
437 347 937385
438 203 809076
439 94 920810
440 240 283500
441 315 414824
442 305 191184
443 411 580170
444 22 449269
445 41 253650
446 444 960924
447 159 227141
448 338 294768
449 335 789217
450 265 42638
451 300 334379
452 439 810190
453 168 863444
454 266 66391
455 209 460830
456 57 745199
457 157 523932
458 394 259187
459 129 277169
460 30 965977
461 338 86464
462 223 128622
463 302 550937
464 218 373202
465 218 338099
466 31 279005
467 333 791931
468 434 944240
469 430 224811
470 392 472331
471 452 393224
472 324 593996
473 252 670263
474 98 537608
475 441 561637
476 62 994600
477 92 979540
478 146 994407
479 131 95667
480 81 870630
481 5 816150
482 467 106241
483 20 755179
484 404 296158
485 170 577463
486 305 181981
487 216 502368
488 387 404193
489 62 145510
490 24 636412
491 238 994441
492 362 904301
493 268 786937
494 214 504456
495 145 299018
496 402 832719
497 128 557422
498 230 755951
499 309 989439
500 207 808942
501 253 853299
502 360 570291
503 149 799602
504 352 44648
505 208 465339
506 77 201313
507 395 344775
508 107 950111
509 319 4320
510 456 47017
511 468 862355
512 215 934857
513 320 818693
514 187 248728
515 218 259267
516 199 924088
517 401 564943
518 41 984583
519 512 985213
520 59 342359
521 71 226642
522 395 426682
523 184 649285
524 470 735830
525 104 347709
526 296 473293
527 165 662580
528 332 146191
529 40 615308
530 488 322107
531 526 968939
532 221 19842
533 405 740572
534 432 414776
535 122 550007
536 410 209039
537 376 817158
538 483 380767
539 166 528863
540 406 152749
541 183 899441
542 23 119338
543 248 66894
544 487 75995
545 377 693149
546 517 589478
547 317 644296
548 321 712319
549 31 130096
550 125 143355
551 154 400581
552 80 489453
553 538 20816
554 538 200531
555 386 503166
556 104 458952
557 146 495672
558 457 997329
559 356 876520
560 397 277470
561 389 987776
562 86 748107
563 89 508971
564 483 533290
565 142 103872
566 26 351871
567 80 61740
568 107 754893
569 59 744245
570 420 148584
571 460 825053
572 338 682719
573 453 702176
574 366 915994
575 93 786073
576 340 664715
577 537 93114
578 444 405919
579 418 389599
580 41 790205
581 230 648555
582 51 514273
583 546 16101
584 341 309200
585 385 740939
586 213 40458
587 281 65318
588 333 435771
589 341 919574
590 138 862539
591 349 61579
592 346 995847
593 244 456427
594 230 305832
595 49 373677
596 536 855846
597 187 754463
598 302 248877
599 283 671986
600 277 563612
601 324 532211
602 275 11618
603 418 327245
604 58 397724
605 362 315504
606 359 985168
607 442 820219
608 348 564478
609 261 415483
610 500 155373
611 551 482696
612 577 844093
613 94 897687
614 170 524073
615 194 683749
616 361 498947
617 247 208104
618 128 846190
619 132 474305
620 282 331222
621 548 536878
622 327 683242
623 201 330107
624 225 182797
625 293 150731
626 45 567451
627 534 349387
628 410 386936
629 486 537216
630 95 849449
631 554 31395
632 214 953274
633 586 375312
634 297 807550
635 342 76079
636 106 155775
637 548 971511
638 359 2756
639 5 635790
640 201 563557
641 280 40074
642 582 936298
643 394 575254
644 91 669237
645 605 266944
646 16 366136
647 472 383433
648 134 54187
649 136 151575
650 473 641063
651 503 516858
652 341 873312
653 245 668557
654 243 306337
655 650 577972
656 346 607218
657 429 33604
658 366 40208
659 469 899451
660 503 270381
661 526 744482
662 369 497435
663 314 472276
664 552 403009
665 26 446061
666 451 367854
667 6 357259
668 564 967638
669 303 633585
670 631 846513
671 128 660220
672 237 862304
673 447 29948
674 90 335384
675 102 128307
676 664 128495
677 220 758632
678 61 701
679 539 726605
680 391 371109
681 257 964131
682 546 168287
683 284 12831
684 180 347204
685 603 926250
686 588 890674
687 339 163797
688 304 312996
689 80 171840
690 101 155845
691 496 286846
692 266 172934
693 329 459323
694 663 792736
695 628 93695
696 436 391296
697 25 935509
698 338 379214
699 256 211858
700 71 111106
701 559 952837
702 54 757280
703 628 754756
704 688 859433
705 579 267709
706 403 743093
707 528 815968
708 250 116383
709 419 606011
710 113 977570
711 225 105665
712 389 273882
713 493 444799
714 121 22216
715 366 928568
716 147 343818
717 185 651453
718 353 30742
719 708 204075
720 371 365507
721 343 421803
722 391 542689
723 221 24624
724 610 545765
725 578 600892
726 386 846691
727 628 924902
728 599 780432
729 716 806370
730 413 59059
731 278 968673
732 61 132694
733 85 20325
734 134 59036
735 332 569960
736 557 212534
737 211 49492
738 509 262237
739 165 446996
740 224 737453
741 479 847686
742 57 787146
743 555 221066
744 651 658639
745 459 402929
746 127 278724
747 157 636925
748 209 24429
749 130 607555
750 351 398001
751 617 24358
752 344 201981
753 601 398460
754 41 664316
755 543 788569
756 103 926046
757 310 502262
758 392 441544
759 321 313472
760 50 267113
761 72 850583
762 309 120704
763 509 989957
764 297 661108
765 608 744948
766 183 291378
767 211 185994
768 212 359505
769 581 473926
770 574 462611
771 406 458291
772 318 447803
773 136 101847
774 430 716582
775 236 22232
776 397 164422
777 102 562235
778 115 876672
779 565 946609
780 579 666054
781 776 596887
782 732 977212
783 730 967140
784 541 400036
785 361 393240
786 749 252614
787 472 767654
788 169 844786
789 28 106114
790 183 317522
791 235 61413
792 538 1158
793 599 767067
794 219 692190
795 241 931960
796 378 921582
797 111 832026
798 496 860782
799 113 751861
800 189 272934
801 300 156168
802 540 29333
803 213 225963
804 401 309673
805 312 951837
806 24 460420
807 479 625488
808 146 153248
809 138 372109
810 545 622581
811 311 720031
812 794 865619
813 292 959307
814 565 867573
815 275 503569
816 631 372618
817 792 666052
818 31 99909
819 124 792420
820 36 256793
821 236 553126
822 266 273856
823 787 727844
824 108 87518
825 409 788891
826 325 436725
827 342 770612
828 246 577329
829 226 545094
830 697 473788
831 565 101758
832 60 741102
833 322 281058
834 571 692527
835 771 766942
836 385 334084
837 379 699235
838 258 15031
839 269 35042
840 689 43383
841 733 845350
842 84 849206
843 507 298801
844 806 378582
845 350 387787
846 679 441612
847 844 215125
848 762 773705
849 487 540075
850 427 86011
851 17 931903
852 284 143435
853 245 28034
854 465 58215
855 505 293718
856 24 919711
857 83 98055
858 166 787732
859 155 711802
860 587 273453
861 308 535034
862 305 105483
863 592 414129
864 139 279044
865 700 861771
866 595 293924
867 247 785149
868 2 941161
869 154 628527
870 844 908960
871 716 650028
872 409 94015
873 371 113938
874 104 177641
875 419 564410
876 218 958030
877 867 682509
878 146 882305
879 467 459052
880 678 83544
881 742 526402
882 614 630846
883 40 331177
884 856 157435
885 727 120437
886 592 431003
887 73 411417
888 318 34899
889 338 923114
890 415 383797
891 745 179984
892 486 619670
893 276 405338
894 189 991832
895 211 663321
896 443 701562
897 283 485546
898 498 50328
899 732 937117
900 79 809129
901 53 306861
902 583 828017
903 611 281499
904 373 276334
905 796 591806
906 595 208486
907 29 1956
908 364 666984
909 317 846480
910 426 304386
911 673 766894
912 215 248579
913 840 854706
914 35 585513
915 288 23020
916 478 365726
917 520 151123
918 227 80860
919 145 573009
920 426 153584
921 766 533675
922 663 452954
923 2 222928
924 428 491979
925 424 295104
926 439 611912
927 297 318662
928 359 830788
929 631 159395
930 318 481540
931 637 843645
932 515 61350
933 768 557360
934 727 943740
935 252 15755
936 806 327886
937 733 492097
938 889 601411
939 346 417128
940 864 817135
941 203 406104
942 394 806931
943 705 289535
944 358 930836
