100000 100000
2 1 610281
3 1 561086
4 2 535790
5 4 167988
6 4 176953
7 5 340979
8 3 553666
9 3 613523
10 3 412756
11 6 141280
12 5 43915
13 4 717152
14 1 930547
15 3 249985
16 13 88378
17 5 932133
18 12 72893
19 8 694831
20 3 548270
21 19 196803
22 17 683481
23 21 363768
24 13 800216
25 11 727000
26 21 928878
27 24 411708
28 21 520143
29 15 64355
30 10 664367
31 19 449293
32 23 892664
33 17 451402
34 22 874643
35 18 123294
36 12 9050
37 20 664485
38 35 890580
39 10 962380
40 16 38246
41 19 420117
42 14 557658
43 10 972620
44 27 993387
45 18 44841
46 35 351312
47 36 926849
48 10 391910
49 42 758587
50 16 557185
51 32 205815
52 36 234679
53 7 807820
54 35 931255
55 53 332405
56 12 975930
57 17 969327
58 55 133401
59 52 644091
60 38 978919
61 24 300891
62 50 215769
63 39 123261
64 26 155044
65 55 390582
66 54 280078
67 36 794815
68 31 499399
69 10 672718
70 9 889185
71 34 432856
72 11 790346
73 23 915052
74 67 860480
75 63 566884
76 1 280778
77 27 718685
78 48 128217
79 65 104223
80 78 723792
81 4 511841
82 17 607552
83 57 551329
84 42 425640
85 2 570306
86 6 261871
87 31 212641
88 44 438047
89 13 492314
90 58 719539
91 9 170629
92 56 959675
93 37 496861
94 74 731257
95 73 887504
96 75 612239
97 80 7973
98 78 738702
99 67 843091
100 44 816050
101 48 511869
102 30 932908
103 91 646487
104 27 368553
105 88 702185
106 21 230701
107 43 604758
108 103 278477
109 90 794618
110 53 735405
111 53 13837
112 49 114168
113 65 600136
114 48 613813
115 52 533562
116 99 889325
117 82 540485
118 73 286290
119 41 225890
120 54 842123
121 34 775637
122 22 317238
123 121 295901
124 96 998364
125 123 638151
126 120 805343
127 121 114114
128 67 706499
129 73 288731
130 73 673826
131 84 782876
132 8 900425
133 88 418086
134 127 26682
135 19 390613
136 16 572049
137 1 490682
138 11 62995
139 45 517704
140 71 393453
141 6 827830
142 12 840544
143 92 151009
144 111 172544
145 76 416408
146 122 811087
147 47 442223
148 53 555346
149 148 930930
150 12 504283
151 92 483535
152 14 4142
153 40 514672
154 28 277150
155 13 644847
156 97 220932
157 140 385749
158 152 447323
159 47 641220
160 28 525552
161 27 498940
162 69 289613
163 80 564502
164 84 317822
165 139 943337
166 141 333324
167 69 447490
168 15 917438
169 65 404601
170 50 994536
171 39 381541
172 4 554827
173 105 793294
174 76 853102
175 171 654719
176 153 524844
177 58 715291
178 78 127524
179 166 659414
180 85 807926
181 162 300152
182 117 62324
183 117 478714
184 161 226153
185 74 207052
186 45 965465
187 71 952507
188 90 388585
189 36 555143
190 5 213016
191 54 136691
192 69 396223
193 141 68667
194 44 164477
195 102 518146
196 142 363533
197 129 113651
198 171 598641
199 14 438320
200 62 508381
201 172 561833
202 83 750316
203 147 26839
204 21 292842
205 146 413290
206 30 824547
207 26 276420
208 8 918312
209 142 777219
210 52 105869
211 124 571542
212 22 630013
213 140 411608
214 156 310259
215 44 569798
216 109 11651
217 207 808836
218 164 162321
219 144 933569
220 203 934007
221 90 510076
222 144 413189
223 49 495674
224 5 647933
225 124 446992
226 126 600959
227 85 739554
228 30 220076
229 113 492328
230 162 33792
231 55 865325
232 138 710107
233 104 356463
234 62 542537
235 224 360294
236 216 669593
237 141 267800
238 112 173215
239 85 930634
240 37 585420
241 105 91300
242 133 912510
243 23 450053
244 198 14717
245 204 695623
246 106 520857
247 71 643006
248 116 267810
249 53 619742
250 222 322204
251 137 835945
252 24 883107
253 33 590929
254 48 899921
255 62 910172
256 98 931891
257 191 704423
258 130 865027
259 121 493336
260 133 96855
261 218 477308
262 239 266256
263 141 365025
264 42 636133
265 247 893467
266 11 997505
267 77 950132
268 131 349507
269 52 969637
270 211 95326
271 168 283824
272 232 397631
273 38 387967
274 210 142720
275 262 175104
276 1 586612
277 107 373636
278 47 289076
279 11 419636
280 26 756131
281 262 883544
282 10 42512
283 229 666950
284 119 923790
285 134 190502
286 105 32746
287 227 562682
288 233 462570
289 248 725736
290 229 348302
291 160 361215
292 259 69602
293 74 820483
294 137 506214
295 48 800237
296 29 553219
297 156 532331
298 276 66510
299 182 536805
300 218 352218
301 106 525766
302 31 201630
303 75 848042
304 46 555447
305 65 785839
306 245 990968
307 287 871364
308 107 430959
309 110 935598
310 262 448316
311 104 232220
312 141 452317
313 254 146320
314 244 480181
315 48 509125
316 285 926781
317 286 250064
318 79 639688
319 197 308960
320 50 188234
321 271 131585
322 309 790907
323 44 756122
324 268 727498
325 16 191741
326 238 460257
327 222 210050
328 63 704861
329 290 431399
330 172 555845
331 65 50143
332 165 491764
333 286 127387
334 314 914663
335 309 842937
336 166 563849
337 106 798448
338 244 493821
339 300 92972
340 259 278993
341 292 913482
342 179 708671
343 20 168174
344 287 996253
345 221 631275
346 274 572799
347 131 67426
348 17 14327
349 221 712366
350 129 147511
351 54 548236
352 182 46175
353 91 582465
354 213 933956
355 88 277665
356 223 960147
357 355 468549
358 81 831030
359 312 115051
360 237 752646
361 78 412082
362 294 460446
363 80 390007
364 168 190672
365 160 436464
366 102 690377
367 241 565892
368 100 364086
369 20 309251
370 285 823792
371 77 27341
372 77 810765
373 105 485459
374 65 648962
375 311 501779
376 358 379538
377 373 727052
378 74 909720
379 330 831107
380 7 252133
381 51 471276
382 308 284973
383 189 711764
384 355 185522
385 214 463451
386 310 640633
387 299 825955
388 60 503031
389 165 609543
390 107 428273
391 381 553599
392 215 541533
393 170 164146
394 64 430411
395 296 584346
396 205 779174
397 353 174108
398 58 609139
399 259 229556
400 196 939589
401 206 836677
402 195 700148
403 17 31617
404 332 974043
405 111 871522
406 338 752480
407 294 726478
408 299 738474
409 39 294320
410 8 402226
411 385 400483
412 236 450638
413 302 761898
414 368 976812
415 281 370788
416 260 200811
417 233 496620
418 388 386447
419 349 620488
420 322 685747
421 209 795509
422 199 949832
423 222 281294
424 82 928960
425 205 889893
426 85 970629
427 179 28936
428 414 381316
429 289 997394
430 338 814990
431 413 790879
432 339 608349
433 138 433109
434 173 848438
435 10 387989
436 227 578308
437 45 5114
438 211 221834
439 361 732796
440 252 378371
441 128 481977
442 21 429414
443 59 286617
444 389 334449
445 234 685208
446 428 684895
447 250 681589
448 30 796287
449 10 320742
450 131 200997
451 280 211613
452 395 892226
453 74 307444
454 77 535837
455 111 781203
456 242 179279
457 364 263206
458 42 806796
459 235 935773
460 425 350184
461 180 807034
462 338 129769
463 170 361025
464 14 636023
465 166 603483
466 215 390496
467 97 616324
468 448 548173
469 431 945836
470 265 480357
471 378 514567
472 37 506569
473 429 784679
474 416 360299
475 235 487312
476 209 374134
477 473 778264
478 22 299318
479 284 946308
480 408 337405
481 351 288712
482 260 364885
483 15 43325
484 379 861505
485 196 29769
486 183 232549
487 334 34200
488 416 871164
489 190 85185
490 45 572032
491 166 974647
492 403 383192
493 234 966418
494 103 892197
495 41 650554
496 337 462515
497 209 473853
498 361 360651
499 135 773160
500 296 539040
501 281 596719
502 334 896320
503 428 543410
504 18 966147
505 18 515296
506 375 201090
507 214 517046
508 87 759204
509 111 299494
510 43 396188
511 19 913705
512 257 405663
513 358 718805
514 135 453790
515 339 21171
516 220 327597
517 406 280770
518 376 765159
519 281 24102
520 414 969124
521 469 302187
522 158 62042
523 331 787198
524 111 302695
525 139 505349
526 509 69442
527 143 590288
528 406 322962
529 468 790473
530 286 317408
531 503 285933
532 271 945884
533 142 901623
534 496 423584
535 500 958700
536 412 497824
537 262 595624
538 193 112822
539 451 897462
540 372 502215
541 210 147102
542 175 338215
543 255 563112
544 222 46481
545 112 954279
546 45 681578
547 19 41596
548 221 839616
549 402 371208
550 486 901646
551 57 172258
552 393 623496
553 273 992038
554 149 667053
